angle, ax, az, gy, dt
-1.4129, 2172, 15164, 846, 0.0030
-1.1125, 1976, 15188, 856, 0.0040
-1.0215, 2132, 15228, 868, 0.0030
-1.2704, 2108, 15180, 895, 0.0030
-1.0098, 1992, 15224, 885, 0.0040
-1.1593, 2180, 15120, 865, 0.0030
-1.1875, 2004, 15208, 943, 0.0030
-0.7839, 1972, 15176, 900, 0.0040
-0.9887, 2100, 15104, 905, 0.0030
-1.1194, 2056, 15288, 907, 0.0030
-0.6642, 1884, 15320, 909, 0.0040
-0.2119, 1796, 15164, 888, 0.0030
-0.3109, 1920, 15192, 903, 0.0030
-0.5061, 1908, 15208, 903, 0.0040
-0.3868, 1864, 15260, 896, 0.0030
-0.2142, 1792, 15028, 898, 0.0030
-0.2648, 1892, 15268, 845, 0.0030
-0.0546, 1704, 15228, 877, 0.0040
0.1969, 1760, 15304, 813, 0.0030
0.0843, 1768, 15272, 844, 0.0030
-0.0772, 1836, 15196, 834, 0.0040
-0.1681, 1808, 15196, 835, 0.0030
-0.0674, 1780, 15192, 839, 0.0030
0.1707, 1684, 15220, 821, 0.0040
0.1536, 1784, 15152, 767, 0.0030
0.0330, 1748, 15228, 744, 0.0030
0.0210, 1796, 15200, 747, 0.0030
0.0512, 1720, 15116, 718, 0.0040
0.1200, 1748, 15108, 693, 0.0030
0.2787, 1636, 15136, 676, 0.0030
0.3897, 1688, 15104, 655, 0.0030
0.1556, 1776, 15256, 640, 0.0040
-0.0464, 1800, 15140, 625, 0.0030
-0.1380, 1820, 15220, 611, 0.0030
0.1571, 1664, 15336, 595, 0.0040
0.3200, 1724, 15148, 595, 0.0030
-0.0111, 1808, 15048, 588, 0.0030
-0.1160, 1788, 15216, 558, 0.0030
0.0425, 1756, 15324, 577, 0.0040
-0.0230, 1828, 15256, 550, 0.0030
-0.0459, 1748, 15156, 549, 0.0030
0.2452, 1676, 15296, 531, 0.0040
0.2076, 1760, 15088, 509, 0.0030
0.1307, 1700, 15148, 503, 0.0030
0.4636, 1608, 15332, 497, 0.0030
0.5675, 1648, 15176, 479, 0.0040
0.4457, 1664, 15244, 451, 0.0030
0.5330, 1612, 15288, 412, 0.0030
0.7422, 1560, 15332, 390, 0.0030
0.9202, 1524, 15368, 353, 0.0040
0.7810, 1624, 15228, 348, 0.0030
0.5526, 1624, 15152, 314, 0.0030
0.5855, 1608, 15248, 276, 0.0030
0.5890, 1620, 15132, 276, 0.0040
0.3010, 1760, 15220, 287, 0.0030
0.2111, 1676, 15208, 254, 0.0030
0.1821, 1788, 15324, 280, 0.0040
-0.0135, 1784, 15232, 258, 0.0030
-0.0154, 1772, 15180, 290, 0.0030
-0.0437, 1792, 15168, 301, 0.0030
-0.1378, 1812, 15088, 317, 0.0040
-0.2150, 1832, 15156, 299, 0.0030
-0.1589, 1812, 15344, 327, 0.0030
-0.1180, 1816, 15200, 352, 0.0040
-0.3015, 1896, 15216, 359, 0.0030
-0.1055, 1716, 15252, 347, 0.0030
0.0088, 1828, 15160, 349, 0.0040
-0.0353, 1748, 15324, 354, 0.0030
0.1305, 1752, 15276, 356, 0.0030
-0.0104, 1816, 15252, 324, 0.0040
0.1137, 1668, 15124, 315, 0.0030
0.3482, 1684, 15208, 287, 0.0030
0.4438, 1616, 15116, 302, 0.0030
0.5024, 1664, 15312, 269, 0.0040
0.4769, 1656, 15364, 250, 0.0030
0.6836, 1540, 15196, 223, 0.0030
0.6969, 1624, 15136, 194, 0.0030
0.5886, 1592, 15140, 179, 0.0040
0.6822, 1580, 15196, 158, 0.0030
0.6225, 1628, 15180, 159, 0.0030
0.5362, 1636, 15288, 140, 0.0030
0.5758, 1620, 15304, 165, 0.0040
0.4542, 1688, 15164, 158, 0.0030
0.2386, 1716, 15124, 155, 0.0030
0.0284, 1812, 15260, 134, 0.0030
-0.0247, 1756, 15224, 161, 0.0040
0.1217, 1724, 15180, 156, 0.0030
0.0111, 1816, 15228, 151, 0.0030
-0.1519, 1816, 15216, 178, 0.0040
-0.1106, 1800, 15280, 170, 0.0030
-0.0904, 1796, 15140, 173, 0.0030
-0.0365, 1780, 15360, 146, 0.0040
0.2017, 1668, 15136, 169, 0.0030
0.0701, 1856, 15396, 164, 0.0030
-0.1462, 1796, 15240, 167, 0.0030
-0.1281, 1812, 15112, 153, 0.0040
0.0995, 1668, 15192, 149, 0.0030
0.3439, 1692, 15208, 153, 0.0030
0.3196, 1688, 15256, 132, 0.0040
0.3879, 1660, 15252, 134, 0.0030
0.6045, 1572, 15264, 102, 0.0030
0.8170, 1540, 15200, 80, 0.0030
0.7629, 1608, 15332, 58, 0.0030
0.5856, 1636, 15212, 49, 0.0040
0.6655, 1552, 15208, 31, 0.0030
0.7402, 1600, 15252, 8, 0.0030
0.6049, 1636, 15316, 7, 0.0030
0.4680, 1660, 15128, -10, 0.0030
0.3231, 1708, 15260, -18, 0.0030
0.2187, 1732, 15276, -45, 0.0040
0.3154, 1644, 15152, -44, 0.0030
0.2358, 1760, 15144, -55, 0.0030
0.0303, 1756, 15168, -24, 0.0030
-0.1155, 1852, 15260, -34, 0.0040
-0.3716, 1896, 15188, -40, 0.0030
-0.3497, 1824, 15124, -49, 0.0030
-0.1241, 1788, 15304, -22, 0.0040
-0.2304, 1920, 15436, -4, 0.0030
-0.3152, 1816, 15152, -32, 0.0030
-0.1303, 1772, 15040, 2, 0.0040
0.0073, 1756, 15268, 37, 0.0030
0.1059, 1744, 15252, -5, 0.0030
-0.0628, 1860, 15376, -1, 0.0030
-0.2697, 1852, 15220, 25, 0.0030
-0.1286, 1772, 15280, 30, 0.0040
-0.1915, 1892, 15268, 42, 0.0030
-0.1778, 1752, 15168, 48, 0.0030
-0.0480, 1816, 15220, 27, 0.0030
0.0376, 1716, 15260, 19, 0.0040
-0.0080, 1828, 15116, 33, 0.0030
-0.0046, 1704, 15168, 0, 0.0030
0.2942, 1684, 15260, 17, 0.0030
0.4209, 1636, 15168, -16, 0.0030
0.3824, 1696, 15184, -32, 0.0030
0.6010, 1520, 15184, -47, 0.0040
0.7303, 1648, 15384, -49, 0.0030
0.7039, 1540, 15240, -77, 0.0030
0.8426, 1568, 15344, -76, 0.0040
0.7652, 1584, 15264, -93, 0.0030
