0,kd: 14.00, angle_mean: -2.0122, angle_summ: -10.0608, angle_diff: 16.9470, power: 208.83
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -13.0479, angle_summ: -65.2395, angle_diff: 7.0890, power: -85.12
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -4.7647, angle_summ: -23.8234, angle_diff: 9.4547, power: 65.04
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 4.5840, angle_summ: 22.9202, angle_diff: 17.4910, power: 309.65
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.8147, angle_summ: 99.0733, angle_diff: 11.6200, power: 442.66
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 11.4043, angle_summ: 57.0215, angle_diff: -15.0894, power: -50.11
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 19.2998, angle_summ: 96.4988, angle_diff: 6.6043, power: 365.17
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.3156, angle_summ: 101.5781, angle_diff: -0.9614, power: 273.60
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 21.7730, angle_summ: 108.8651, angle_diff: 0.2745, power: 311.50
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 13.9414, angle_summ: 69.7068, angle_diff: 12.3434, power: 369.80
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 28.7485, angle_summ: 143.7427, angle_diff: -6.4498, power: 315.92
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 21.1484, angle_summ: 105.7422, angle_diff: -4.1657, power: 240.51
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 20.9992, angle_summ: 104.9962, angle_diff: -2.9697, power: 255.14
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 12.4766, angle_summ: 62.3831, angle_diff: -0.5892, power: 168.05
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 15.4763, angle_summ: 77.3813, angle_diff: -2.4160, power: 184.86
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: 7.8147, angle_summ: 39.0735, angle_diff: -6.5266, power: 19.05
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -5.0845, angle_summ: -25.4226, angle_diff: -20.1032, power: -353.29
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -13.4423, angle_summ: -67.2113, angle_diff: -2.7636, power: -228.63
kp: 14.13,ki: 0.00,kd: 14.00, angle_mean: -16.6584, angle_summ: -83.2921, angle_diff: -8.3589, power: -352.41
