236,-17036,-157,287,119
-380,236,-17440,-170,254,98
-416,192,-17172,-178,251,144
-416,324,-16972,-164,269,112
-376,220,-17212,-172,275,107
-356,236,-17288,-183,246,117
-372,280,-17200,-167,234,123
-388,224,-17196,-149,234,115
-404,264,-17392,-175,213,127
-340,292,-17196,-175,237,113
-320,172,-17128,-148,239,111
-464,132,-17168,-148,254,132
-344,252,-17368,-164,238,111
-400,300,-17176,-162,257,138
-340,360,-17244,-186,249,125
-340,172,-17088,-170,274,117
-280,260,-17076,-157,259,96
-276,248,-17200,-160,275,132
-288,192,-17240,-137,223,136
-392,344,-17144,-170,236,120
-256,200,-17140,-165,236,111
-300,216,-17100,-182,254,123
-336,228,-17224,-172,232,132
-424,296,-17088,-160,277,107
-456,268,-17348,-199,283,101
-352,160,-17296,-143,292,127
-256,112,-17200,-185,271,113
-348,264,-17272,-166,250,132
-360,260,-17348,-179,293,98
-356,240,-17116,-169,222,135
-264,208,-17136,-172,234,126
-360,324,-17212,-184,249,105
-376,220,-17344,-193,232,93
-284,216,-17304,-181,237,153
-276,240,-16976,-199,237,136
-324,264,-17248,-160,251,104
-340,236,-17240,-176,274,118
-296,268,-17188,-180,265,95
-380,140,-17324,-166,253,150
-368,200,-17208,-157,245,130
-444,316,-17232,-130,268,119
-416,332,-17152,-167,241,134
-324,232,-17168,-162,215,105
-480,276,-17188,-127,220,98
-340,192,-17300,-157,263,120
-352,264,-17136,-184,272,123
-336,172,-17176,-158,271,115
-288,160,-17080,-184,253,119
-356,212,-17196,-167,283,117
-328,204,-17172,-166,261,114
-392,288,-17364,-167,238,124
-324,248,-17108,-171,207,125
-436,308,-17404,-181,239,86
-384,216,-17168,-162,242,127
-444,320,-17084,-148,223,122
-340,220,-17040,-169,261,104
-416,336,-17308,-158,243,104
-352,136,-17172,-193,265,160
-336,192,-17084,-184,278,105
-360,316,-17168,-177,288,91
-324,84,-17224,-159,254,110
-372,252,-17280,-152,268,121
-392,348,-17304,-199,238,125
-368,268,-17024,-152,198,129
-364,176,-17128,-142,253,99
-380,200,-17156,-161,238,127
-332,312,-17132,-162,261,141
-500,120,-17252,-145,235,117
-344,184,-17080,-153,275,118
-420,172,-17244,-172,266,104
-348,196,-17168,-166,305,113
-416,268,-17164,-160,239,130
-388,216,-17144,-136,254,114
-376,244,-17352,-178,250,105
-304,228,-17284,-171,250,140
-392,236,-17172,-157,204,97
-400,344,-17108,-171,249,139
-324,280,-17356,-169,261,117
-344,300,-17316,-193,242,105
-384,208,-17048,-191,243,108
-336,264,-17296,-183,283,118
-316,256,-17224,-167,245,96
-392,204,-17320,-183,271,132
-344,240,-17124,-144,240,122
-336,244,-17116,-130,239,119
-292,124,-17460,-162,240,114
-488,376,-17368,-158,241,124
-324,372,-17156,-165,251,106
-364,280,-17312,-164,257,107
-352,260,-17380,-175,273,114
-380,236,-17344,-179,285,112
-304,284,-17224,-150,271,129
-272,240,-17392,-162,242,115
-328,212,-17288,-162,272,136
-308,192,-17404,-157,243,116
-352,228,-17156,-218,198,101
-408,272,-17388,-150,224,113
-396,152,-17424,-174,208,108
-416,176,-17208,-161,248,149
-400,252,-17108,-159,237,115
-360,228,-16996,-135,250,120
-340,124,-17404,-164,269,122
-356,140,-17268,-170,307,131
-308,168,-17240,-163,247,103
-320,220,-17108,-165,277,123
-264,264,-17388,-147,245,123
-372,228,-17248,-169,235,113
-360,192,-17136,-162,181,120
-372,232,-17284,-143,227,127
-328,232,-17156,-159,236,95
-368,132,-17224,-166,233,106
-316,196,-17128,-180,228,132
-392,320,-17212,-167,295,99
-352,216,-17256,-179,273,125
-296,280,-17160,-172,261,127
-396,300,-16984,-180,261,122
-332,228,-17344,-153,235,125
-400,288,-17324,-164,255,105
-404,192,-17232,-156,256,119
-364,240,-17156,-160,210,138
-376,256,-17160,-150,245,116
-332,256,-17380,-192,255,155
-420,224,-17292,-138,284,144
-252,228,-17128,-186,260,101
-292,268,-17232,-136,276,121
-332,220,-17168,-142,248,109
-356,288,-17320,-196,250,129
-296,212,-17224,-176,240,127
-320,272,-17072,-159,216,122
-340,300,-17264,-162,229,130
-376,148,-17272,-151,239,102
-364,260,-17216,-208,234,108
-400,260,-16988,-174,241,119
-380,224,-17132,-160,259,115
-360,168,-17304,-171,256,114
-268,140,-17068,-156,286,125
-336,248,-17076,-169,239,116
-364,204,-17172,-164,294,143
-324,132,-17336,-173,237,111
-364,184,-17168,-168,230,120
-368,236,-17244,-139,236,127
-332,292,-17188,-152,223,108
-340,240,-17280,-159,216,155
-276,212,-17128,-165,216,122
-332,284,-17272,-165,254,97
-416,236,-17232,-149,296,88
-328,156,-17356,-179,251,125
-336,220,-17112,-161,269,131
-388,288,-17120,-170,266,109
-320,204,-17292,-183,261,106
-300,228,-17244,-168,230,132
-404,292,-17100,-181,243,120
-412,296,-17156,-170,241,137
-344,280,-17120,-163,237,108
-388,308,-17248,-166,225,131
-420,264,-17168,-207,220,114
-392,288,-17228,-189,280,113
-376,264,-17372,-169,248,101
-256,152,-17300,-173,283,116
-296,356,-17184,-162,245,147
-336,344,-17116,-165,232,92
-464,364,-17152,-144,217,98
-368,184,-17220,-172,244,142
-348,300,-17036,-144,225,134
-408,292,-17268,-186,229,113
-364,260,-17260,-159,235,128
-320,244,-17296,-174,298,109
-348,232,-17100,-168,253,136
-372,308,-17216,-152,277,110
-412,336,-17288,-172,281,105
-280,220,-17244,-161,282,112
-304,284,-17152,-184,247,111
-388,228,-17100,-150,237,142
-372,284,-17316,-178,227,112
-300,160,-17264,-183,251,105
-348,312,-17136,-147,220,119
-392,296,-17044,-175,244,102
-392,212,-17120,-183,288,84
-420,228,-17372,-167,297,148
-224,136,-17112,-153,323,102
-424,180,-17124,-157,255,108
-288,140,-17284,-149,242,83
-428,260,-17388,-185,260,119
-328,312,-17328,-157,237,123
-412,160,-17084,-181,199,131
-320,264,-17144,-137,212,110
-364,204,-17312,-157,248,83
-324,236,-17224,-149,272,119
-424,304,-17060,-163,250,134
-332,304,-17284,-165,275,109
-432,260,-17212,-152,259,85
-348,260,-17300,-160,299,112
-320,284,-17184,-155,269,134
-344,204,-17132,-162,264,91
-412,296,-17276,-180,234,123
-456,224,-16988,-186,240,96
-384,256,-17060,-170,228,97
-404,276,-17232,-171,224,113
-348,52,-17104,-160,229,96
-312,156,-17248,-160,256,112
-320,268,-17120,-180,247,104
-312,248,-17176,-145,263,110
-324,260,-17092,-180,282,88
-392,240,-17336,-162,251,138
-296,252,-17244,-159,235,119
-384,280,-17332,-147,222,107
-348,192,-17240,-167,259,92
-360,156,-17348,-166,241,122
-460,160,-17288,-149,264,141
-468,280,-17148,-150,247,117
-456,184,-17372,-151,287,108
-440,128,-17256,-176,268,109
-340,344,-17244,-157,261,98
-368,192,-17076,-165,287,124
-320,228,-17336,-197,263,120
-316,196,-17104,-166,238,133
-368,124,-17132,-152,202,124
-384,280,-17272,-168,246,121
-408,212,-17240,-164,220,108
-396,192,-17120,-171,225,110
-344,220,-17096,-163,218,114
-380,256,-17156,-161,235,108
-368,232,-17328,-187,285,119
-320,156,-17224,-181,290,105
-440,216,-17224,-178,258,132
-324,260,-17168,-183,251,131
-312,248,-17200,-185,287,124
-484,276,-17264,-153,236,141
-348,212,-17164,-195,225,109
-364,268,-17080,-151,195,93
-380,356,-17160,-160,256,120
-312,272,-17300,-166,215,118
-360,180,-17208,-205,260,119
-324,260,-17164,-146,242,132
-348,188,-17084,-176,249,119
-248,204,-17156,-174,278,119
-296,240,-17196,-165,280,125
-444,252,-17112,-158,216,105
-376,260,-17252,-164,249,134
-444,264,-17304,-167,253,129
-392,304,-17172,-166,216,111
-376,288,-17120,-188,218,131
-388,236,-17356,-179,246,85
-276,104,-17232,-167,291,104
-332,216,-17096,-163,258,115
-416,276,-17036,-155,245,102
-440,384,-17300,-172,272,124
-288,148,-17364,-166,272,134
-364,252,-17096,-174,250,130
-384,320,-17068,-165,198,91
-392,260,-17312,-160,239,120
-360,120,-17268,-183,229,83
-292,168,-17232,-152,230,137
-364,60,-17188,-172,231,105
-400,232,-17324,-160,253,120
-256,200,-17264,-150,292,99
-408,172,-17320,-175,277,126
-344,172,-17156,-173,242,123
-352,188,-17316,-166,269,123
-308,240,-17248,-176,248,118
-256,252,-17148,-168,230,121
-468,316,-17240,-148,221,126
-288,252,-17276,-147,234,114
-332,200,-17248,-158,236,113
-444,196,-17308,-190,231,105
-344,168,-17192,-152,269,115
-432,216,-17264,-166,286,111
-304,260,-17240,-162,281,132
-332,188,-17216,-155,259,137
-312,128,-17048,-183,256,109
-476,276,-17392,-152,263,109
-296,228,-17500,-165,247,114
-328,240,-17252,-172,252,113
-388,268,-17076,-171,207,114
-348,300,-17156,-165,235,108
-352,180,-17292,-182,223,142
-308,240,-17256,-175,217,128
-468,368,-17056,-145,236,108
-404,144,-17260,-163,301,109
-416,164,-17312,-207,251,130
-400,244,-17244,-186,245,108
-464,332,-17132,-161,247,134
-360,244,-17168,-161,243,97
-316,220,-17192,-184,236,127
-364,216,-17044,-154,202,86
-368,268,-17176,-181,239,136
-320,304,-17180,-169,254,89
-420,212,-17352,-169,300,114
-352,140,-17284,-177,247,103
-296,196,-17148,-156,263,128
-300,196,-17128,-162,269,115
-304,236,-17508,-153,260,119
-400,104,-17188,-185,229,128
-368,304,-17168,-143,208,107
-264,260,-17228,-146,213,72
-360,144,-17196,-141,227,103
-380,328,-17088,-175,232,129
-456,372,-17264,-148,233,113
-304,236,-17248,-157,282,106
-244,184,-17228,-174,289,118
-352,124,-17140,-164,291,123
-420,292,-17056,-150,269,122
-288,260,-17236,-182,273,88
-428,236,-17392,-169,268,152
-376,200,-17280,-170,253,105
-372,228,-17116,-192,219,110
-432,256,-17284,-133,225,130
-328,172,-17248,-149,247,98
-232,260,-17176,-177,246,140
-352,128,-17140,-168,246,114
-460,228,-17204,-165,251,124
-224,204,-17348,-154,255,135
-356,204,-17256,-171,261,118
-300,268,-17176,-185,263,135
-368,336,-17252,-149,246,106
-324,232,-17236,-171,245,112
-300,288,-17268,-169,205,142
-388,216,-17060,-181,234,123
-400,256,-17080,-164,224,116
-336,212,-17316,-162,245,83
-316,220,-17200,-166,283,121
